"nest_id"	"fate"	"date_on"	"date_off"	"TDR_extended"	"TDR_short"	"TDR_tot"	"NR_extended"	"NR_short"	"nest_age"	"number"
"SAND_2013A_BS13"	"H"	2013-07-19 21:00:00	"2013-07-20 20:59:00"	0	275	275	0	35	19	5
"SAND_2013A_BS13"	"H"	2013-07-20 21:00:00	"2013-07-21 20:59:00"	0	208	208	0	34	20	5
"SAND_2013A_BS15"	"H"	2013-07-17 12:00:00	"2013-07-18 11:59:00"	0	346	346	0	30.7272727272727	17	4
"SAND_2013A_BS15"	"H"	2013-07-18 12:00:00	"2013-07-19 11:59:00"	0	318	318	0	34.2727272727273	18	4
"SAND_2013A_BS15"	"H"	2013-07-19 12:00:00	"2013-07-20 11:59:00"	310	177	487	0.732860520094563	25	19	4
"SAND_2013A_BS15"	"H"	2013-07-20 12:00:00	"2013-07-21 11:59:00"	0	313	313	0	22.2671394799054	20	4
"SAND_2013A_BS16"	"H"	2013-07-18 12:00:00	"2013-07-19 11:59:00"	231	192	423	1	29	13	8
"SAND_2013A_BS16"	"H"	2013-07-19 12:00:00	"2013-07-20 11:59:00"	0	193	193	0	21.0867579908676	14	8
"SAND_2013A_BS16"	"H"	2013-07-20 12:00:00	"2013-07-21 11:59:00"	200	133	333	0.91324200913242	17	15	8
"SAND_2013A_BS16"	"H"	2013-07-21 12:00:00	"2013-07-22 11:59:00"	0	217	217	0	29	16	8
"SAND_2013A_BS16"	"H"	2013-07-22 12:00:00	"2013-07-23 11:59:00"	411	115	526	1	24	17	8
"SAND_2013A_BS16"	"H"	2013-07-23 12:00:00	"2013-07-24 11:59:00"	0	303	303	0	42	18	8
"SAND_2013A_BS16"	"H"	2013-07-24 12:00:00	"2013-07-25 11:59:00"	358	143	501	1	29	19	8
"SAND_2013A_BS16"	"H"	2013-07-25 12:00:00	"2013-07-26 11:59:00"	160	280	440	1	37	20	8
"SAND_2014A_BS03"	"A"	2014-07-14 20:00:00	"2014-07-15 19:59:00"	343	152	495	1.36363636363636	7	6	8
"SAND_2014A_BS03"	"A"	2014-07-15 20:00:00	"2014-07-16 19:59:00"	1053	66	1119	1.61990273101384	4	7	8
"SAND_2014A_BS03"	"A"	2014-07-16 20:00:00	"2014-07-17 19:59:00"	651	166	817	1	11.0164609053498	8	8
"SAND_2014A_BS03"	"A"	2014-07-17 20:00:00	"2014-07-18 19:59:00"	929	12	941	2	2	9	8
"SAND_2014A_BS03"	"A"	2014-07-18 20:00:00	"2014-07-19 19:59:00"	768	2	770	1.20485175202156	2	10	8
"SAND_2014A_BS03"	"A"	2014-07-19 20:00:00	"2014-07-20 19:59:00"	885	13	898	0.795148247978437	3	11	8
"SAND_2014A_BS03"	"A"	2014-07-20 20:00:00	"2014-07-21 19:59:00"	811	54	865	1.24472843450479	3	12	8
"SAND_2014A_BS03"	"A"	2014-07-21 20:00:00	"2014-07-22 19:59:00"	1182	3	1185	0.755271565495208	2	13	8
"SAND_2014A_BS06"	"H"	2014-07-17 05:00:00	"2014-07-18 04:59:00"	0	214	214	0	35	17	5
"SAND_2014A_BS06"	"H"	2014-07-18 05:00:00	"2014-07-19 04:59:00"	0	103	103	0	28	18	5
"SAND_2014A_BS06"	"H"	2014-07-19 05:00:00	"2014-07-20 04:59:00"	0	277	277	0	54	19	5
"SAND_2014A_BS06"	"H"	2014-07-20 05:00:00	"2014-07-21 04:59:00"	0	263	263	0	58	20	5
"SAND_2014A_BS06"	"H"	2014-07-21 05:00:00	"2014-07-22 04:59:00"	0	275	275	0	46	21	5
"SAND_2015A_BS08"	"H"	2015-07-20 02:00:00	"2015-07-21 01:59:00"	0	236	236	0	36	11	11
